name,gender
Mary,F
Helen,F
Ruth,F
Dorothy,F
Mildred,F
Margaret,F
Thelma,F
Edna,F
Martha,F
Hazel,F
Alice,F
Elizabeth,F
Frances,F
Marie,F
Anna,F
Florence,F
Edith,F
Esther,F
Irene,F
Evelyn,F
Louise,F
Virginia,F
Gladys,F
Pauline,F
Lucille,F
Catherine,F
Lillian,F
Josephine,F
Clara,F
Grace,F
Mabel,F
Ruby,F
Nellie,F
Ethel,F
Gertrude,F
Bernice,F
Agnes,F
Eva,F
Rose,F
Alma,F
Opal,F
Elsie,F
Betty,F
Emma,F
Viola,F
Beulah,F
Laura,F
Bertha,F
Doris,F
Loretta,F
Blanche,F
Violet,F
Beatrice,F
Lois,F
Velma,F
Bessie,F
Genevieve,F
Goldie,F
Inez,F
Pearl,F
Sarah,F
Wilma,F
Katherine,F
Marjorie,F
Leona,F
Marguerite,F
Vera,F
Kathryn,F
Ann,F
Georgia,F
Julia,F
Fern,F
Naomi,F
Lucile,F
Olive,F
Myrtle,F
Geraldine,F
Jean,F
Alberta,F
Ida,F
Charlotte,F
Stella,F
Sylvia,F
Eleanor,F
Hilda,F
Jessie,F
Marian,F
Maxine,F
Vivian,F
Mae,F
Minnie,F
Ella,F
Lola,F
Mable,F
Berniece,F
Della,F
Freda,F
Iva,F
Verna,F
Audrey,F
Dora,F
Jane,F
June,F
Alta,F
Cora,F
Geneva,F
Hattie,F
Juanita,F
Lena,F
Marion,F
Flora,F
Kathleen,F
Daisy,F
Dorothea,F
Ellen,F
Lucy,F
Lula,F
Ada,F
Caroline,F
Carolyn,F
Crystal,F
Norma,F
Rachel,F
Roberta,F
Dorotha,F
Henrietta,F
Lela,F
Lorene,F
Marcella,F
Maude,F
Nora,F
Anne,F
Bonnie,F
Faye,F
Harriet,F
Isabelle,F
Lydia,F
Wanda,F
Barbara,F
Carrie,F
Helene,F
Janet,F
Jennie,F
Luella,F
Miriam,F
Nettie,F
Nina,F
Amelia,F
Christine,F
Erma,F
Estella,F
Fannie,F
Fay,F
Garnet,F
Hallie,F
Janice,F
Jeanette,F
Lillie,F
Pansy,F
Susie,F
Annabelle,F
Eileen,F
Eunice,F
Flossie,F
Lenora,F
Leota,F
Lorena,F
Lottie,F
May,F
Nancy,F
Veronica,F
Amy,F
Cleo,F
Dolores,F
Gretchen,F
Harriett,F
Imogene,F
Irma,F
Jeannette,F
Lorraine,F
Madeline,F
Mamie,F
Patricia,F
Phyllis,F
Tillie,F
Winifred,F
Cecelia,F
Cecile,F
Clarice,F
Essie,F
Etta,F
Hannah,F
Hester,F
Iris,F
Joan,F
Katie,F
Lila,F
Lora,F
Maggie,F
Marcia,F
Marietta,F
Merle,F
Mona,F
Orpha,F
Rosa,F
Sadie,F
Susan,F
Theresa,F
Victoria,F
Zelma,F
Aileen,F
Anita,F
Annie,F
Bernadine,F
Catharine,F
Christina,F
Elaine,F
Elma,F
Eloise,F
Elsa,F
Estelle,F
Freida,F
Frieda,F
Goldia,F
Katharine,F
Lulu,F
Madge,F
Margie,F
Mayme,F
Melba,F
Nell,F
Ramona,F
Reba,F
Regina,F
Rosemary,F
Sara,F
Selma,F
Sophia,F
Zella,F
Cecilia,F
Emily,F
Donna,F
Dortha,F
Elva,F
Charlene,F
Madonna,F
Delores,F
Mattie,F
Neva,F
Priscilla,F
Rebecca,F
Rita,F
Rosie,F
Alpha,F
Blanch,F
Carmen,F
Clementine,F
Edythe,F
Effie,F
Elnora,F
Enid,F
Eula,F
Gwendolyn,F
Ina,F
Jeanne,F
Leah,F
Nedra,F
Olivia,F
Rosella,F
Shirley,F
Wava,F
Amanda,F
Audra,F
Belle,F
Carol,F
Dessie,F
Elinor,F
Golda,F
Isabel,F
Lee,F
Lelia,F
Matilda,F
Millie,F
Myra,F
Nola,F
Sally,F
Laverne,F
Avis,F
Sophie,F
Adeline,F
Cornelia,F
Hildred,F
Muriel,F
Ollie,F
Ora,F
Rosetta,F
Treva,F
Velva,F
Angeline,F
Annette,F
Augusta,F
Eleanore,F
Olga,F
Wilhelmina,F
Cecil,F
Dorthy,F
