name,gender
radhamohan,M
laxmi,F
nootan,M
omprakesh,M
kuwarjeet,M
dipeeka,F
yognder,M
shish,M
amir,M
sarswati,F
rambhool,M
khashbu,F
jaykumar,M
leelu,M
anjani,F
sohil,M
kanchi,M
dinesh,M
kalwati,F
nadir,M
ramswrup,M
hazra,F
radhadalal,F
kazal,F
asmit,F
dharvesh,M
najira,F
ishawar,F
lc,F
niraj,F
braham,M
baljeet,F
prete,F
mamu,M
kosylaya,F
chotan,M
asrf,M
viney,M
pravindra,M
veepal,M
rosy,F
nasar,M
rinke,F
kiran,M
yuvraj,M
subhan,M
nafeesa,F
chhagana,F
versha,M
avneet,F
tanvir,M
dayaram,M
tara,M
surjiya,F
parveena,F
gul,M
sheish,M
shahjad,M
prami,M
pargati,F
gurubaksh,M
jitender,M
keshri,M
saheen,F
khushnudi,F
chabi,M
rooshi,F
fiza,F
deepanshi,F
lokesh,M
saroj,M
girraj,M
irtu,F
arsad,M
mjudi,F
vijaynti,F
himani,F
sartaj,F
swetha,F
neha,F
fakir,M
harji,M
axat,M
sumalia,F
shyamvati,F
sanjeeta,F
mahfuj,M
ishmita,F
santosh,M
rai,M
sahana,F
mamata,M
rubiya,F
naajim,M
sinaa,F
kartik,M
bittoo,M
ajim,M
jagtar,M
noori,M
dhram,M
preetam,M
maujim,M
satwander,F
jasoda,F
sufiya,F
srimati,F
somi,F
jagdambika,M
rojmeri,F
surjeet,F
shalig,M
naryani,F
bagga,F
raisha,F
deepmala,F
tayab,F
shajiya,F
preet,M
ishika,F
anurag,M
anuradha,F
mohmmd,M
gulbasha,F
siya,M
ruksar,M
farhanaaz,F
veenita,F
mohd,F
gita,F
majrula,F
sital,F
daks,M
akhil,M
shalu,F
bhagwanti,F
rihaan,M
jhagdoo,M
chhabil,M
nuraish,F
miraz,F
gori,F
amrjeet,M
surgayani,F
daya,M
shelender,M
amlesh,M
englas,F
murshida,F
muzamiil,M
bhanwari,F
aadil,M
gurudut,M
shaili,F
momin,M
incee,F
khurshida,F
rinku,F
pannu,M
dharmbir,M
karshma,F
dalima,F
halke,M
bhoori,F
arbana,F
chain,M
omesh,M
anokha,M
amin,M
kamni,F
rambabu,M
ishu,M
minu,F
meenu,F
ajnabi,F
jeta,F
perdeep,M
shashi,F
sabir,M
shabanam,F
wazid,M
ambiya,F
vidyadatt,M
ajman,M
mathura,M
chetanram,M
silpa,F
laka,M
sanita,F
najis,M
radat,M
gordhan,M
ajmit,F
sandha,F
chandabai,F
munder,M
goverdhan,M
kulli,F
najre,M
farhan,M
rakkibhul,M
ahmad,M
sudama,F
tabwsum,F
noora,M
tribavan,M
vikky,M
pinkoo,M
umlesh,M
lata,F
hrithik,M
paramveer,M
pappu,M
sira,F
dhirpal,M
ramdhin,M
hanshraj,M
aravind,M
gudia,F
shalender,M
azmira,F
sham,M
aashis,M
himanshu,M
pankaj,F
pari,F
alok,M
sugai,M
darshana,F
halki,F
pratul,M
ravikant,M
mohad,M
mudbir,M
bittu,M
manoj,M
sefali,F
reekha,F
zahira,F
anshuman,M
saida,F
pushapa,F
maneesha,F
kashiv,M
kesavi,F
syham,M
fharman,M
sukhvinder,M
seekha,F
durgalal,M
durgashankar,M
sazmin,F
aashik,M
saista,F
jareena,F
kush,M
ronak,M
foranta,F
